OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Area,RestaurantID,RestaurantName,Cuisine,RestaurantRating,ItemName,CategoryName,Quantity,UnitPrice,TotalAmount,OrderStatus,PaymentMode,PaymentStatus,PartnerName,VehicleType,DistanceKM,DeliveryTimeMin,FoodRating,DeliveryRating
ORD10175,17-08-2024 20:52,CUST2012,Aditya Sharma,Female,39,KOLKATA,Park Street,R015,Chaat Corner,Street Food,4,Vada Pav,Street Food,4,Rs.50.0,200,Returned,debit card,Refunded,Vivaan Singh,Bike,8,47,,
ORD10268,24-03-2024,CUST2108,Rahul Iyer,F,37,Bengaluru,HSR Layout,R003,Dragon Wok,Chinese,4,Spring Rolls,Starters,5,140,700,DELIVERED,Debit Card,Paid,Pooja Gupta,Scooter,8.8,49,4,3
ORD10238,19-08-2024 17:13,CUST2178,Deepak Rao,male,52,Hyderabad,Madhapur,R012,Noodle Story,chinese,3.7,Chicken Manchurian,Main Course,5,210,1050,DELIVERED,CREDIT CARD,Paid,Aarav Reddy,Bike,8.7,46,3,5
ORD10136,29-11-2024,CUST2099,Aditya Iyer,Male,43,Delhi,Connaught Place,R009,The Bakers Oven,Bakery,4,Croissant,Bakery,1,90,90,returned,UPI,Refunded,Vivaan Singh,E-Bike,12.8,69,,
ORD10130,19-04-2024 22:18,CUST2094,Deepak Gupta,Male,39,NA,Andheri,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,1,260,260,RETURNED,CASH ON DELIVERY,Refunded,Suresh Kumar,Bicycle,,33,,
ORD10384,16-02-2024 04:26,CUST2041,Aditya Das,MALE,21,Mumbai,Dadar,R012,Noodle Story,Chinese,3.7,Veg Noodles,Noodles,1,160,Rs.160.0,Delivered,cash on delivery,Paid,Krishna Chatterjee,Bicycle,2.3,21,3,5
ORD10054,28-Aug-24,CUST2041,Aditya Das,,21,Mumbai,Powai,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,2,70,140,cancelled,WALLET,Failed,Manoj Nair,Bicycle,3.2,25,,
ORD10229,10-06-2024 18:40,CUST2171,SAANVI MALHOTRA,F,0,Mumbai,Dadar,R002,Pizza Palace,Itallian,4.1,Pasta Alfredo,Pasta,5,240,1200,CANCELLED,wallet,Failed,Reyansh Sharma,Scooter,10.6,46,,
ORD10312,04-Dec-24,CUST2116,Vikram Bose,FEMALE,38,Chennai,Velachery,R002,Pizza Palace,Italian,4.1,Pasta Alfredo,Pasta,4,240,Rs.960.0,Returned,wallet,Refunded,Aditya Menon,E-Bike,1.4,13,,
ORD10485,12-04-2024,CUST2359,Lakshmi Sharma,f,28,Mumbai,Dadar,R007,Sushi Yama,Japanese,4.2,California Roll,Sushi,1,320,320,Cancelled,Wallet,Failed,Anika Kapoor,Bike,6.3,40,,
ORD10430,04-10-2024 09:40,CUST2321,Vihaan Das,F,18,Bangalore,Electronic City,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,4,210,840,Delivered,cash on delivery,Paid,Krishna Chatterjee,E-Bike,6.5,41,5,4
ORD10464,11/15/2024,CUST2246,Sai Reddy,Male,59,Kolkata,Ballygunge,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,5,90,450,Returned,Debit Card,Refunded,Reyansh Sharma,Bike,7.5,53,,
ORD10058,08-11-2024 07:59,CUST2027,Priya Mukherjee,f,27,DELHI,Dwarka,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,5,260,1300,Delivered,Wallet,Paid,Myra Pillai,Scooter,13.8,89,4,4
ORD10445,11/27/2024,CUST2329,Rohan Kapoor,m,26,Delhi,Connaught Place,R003,Dragon Wok,Chinese,4,Spring Rolls,Starters,5,140,Rs.700.0,DELIVERED,UPI,Paid,Kiran Desai,E-Bike,1.3,15,3,5
ORD10201,24-03-2024,CUST2149,Diya Bose,female,55,Chennai,Velachery,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,3,Rs.90.0,270,RETURNED,UPI,Refunded,Nikhil Malhotra,E-Bike,1.5,20,,
ORD10271,0000-00-00,CUST2200,Sai Rao,MALE,39,Hyderabad,Banjara Hills,R006,South Spice,South Indian,4.5,Uttapam,Breakfast,3,100,300,Returned,Debit Card,Refunded,Sai Iyer,E-Bike,11.9,76,,
ORD10345,20-Aug-24,CUST2106,Manoj Pillai,f,,Chennai,T Nagar,R009,The Bakers Oven,Bakery,4,Chocolate Cake,Desserts,4,350,Rs.1400.0,Delivered,CREDIT CARD,Paid,Sai Iyer,Bicycle,1.3,11,5,4
ORD10280,16-10-2024 05:20,CUST2208,Sanjay Singh,F,20,Hyderabad,Kukatpally,R012,  Noodle Story  ,Chinese,3.7,Veg Noodles,Noodles,5,160,800,returned,Credit Card,Refunded,Aditya Menon,Scooter,14.1,66,,
ORD10256,21-08-2024 02:41,CUST2189,Reyansh Gupta,M,50,Delhi,Rohini,R013,Sweet Tooth,Desserts,,Brownie,Desserts,5,130,650,Returned,UPI,Refunded,,Bike,12.2,72,,
ORD10451,08/26/2024,CUST2334,Sneha Patel,F,23,Bangalore,Koramangala,R009,The Bakers Oven,Bakery,4,Chocolate Cake,Desserts,3,350,,Cancelled,credit card,Failed,Vivaan Singh,Bicycle,5.2,29,,
ORD10377,02-10-2024 19:58,CUST2278,Manoj Desai,M,23,Hyderabad,Madhapur,R005,Burger Point,Fast Food,3.9,French Fries,Sides,5,90,450,Delivered,UPI,Paid,Vivaan Singh,Bike,6.6,44,5,5
ORD10355,08-02-2024 19:46,CUST2260,Rahul Gupta,m,20,Chennai,Anna Nagar,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,1,90,90,Delivered,Credit Card,Paid,Myra Pillai,Scooter,8.7,52,3,4
ORD10320,07-09-2024 17:54,CUST2234,Meera Kapoor,FEMALE,53,MUMBAI,Andheri,R002,Pizza Palace,Italian,4.1,Pasta Alfredo,Pasta,3,240,720,Delivered,Cash on Delivery,Paid,Myra Pillai,Bicycle,5.5,34,5,3
ORD10248,0000-00-00,CUST2093,Aarohi Gupta,MALE,22,Bangalore,Jayanagar,R012,  Noodle Story  ,Chinese,3.7,Veg Noodles,Noodles,2,160,Rs.320.0,Delivered,Debit Card,Paid,Anika Kapoor,E-Bike,7.6,47,5,3
ORD10408,21-06-2024 04:50,CUST2303,Reyansh Rao,FEMALE,34,CHENNAI,T Nagar,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,5,70,522.38,Returned,Wallet,Refunded,Kiran Desai,Bike,11.6,62,,
ORD10370,21-Jun-24,CUST2272,Deepak Menon,m,44,DELHI,Saket,R005,Burger Point,Fast Food,3.9,Cheese Burger,Burger,1,₹130.0,130,delivered,CREDIT CARD,Paid,Lakshmi Verma,Scooter,10.1,61,0,5
ORD10343,14-04-2024,CUST2252,Deepak Patel,f,27,Chennai,Adyar,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,4,280,Rs.1120.0,DELIVERED,Debit Card,Paid,Kavya Mukherjee,Scooter,14.4,77,4,4
ORD10040,09-07-2024 23:24,CUST2032,Nikhil Bose,MALE,24, Kolkata ,Salt Lake,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,4,220,880,Delivered,CASH ON DELIVERY,Paid,Myra Pillai,Bike,4.4,29,3,5
ORD10470,26-03-2024 05:00,CUST2347,Arjun Das,male,30,Pune,Baner,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,4,140,560,Delivered,Debit Card,Paid,Suresh Kumar,Scooter,6.7,35,3,5
ORD10154,17-07-2024 09:03,CUST2112,Sanjay Bose,FEMALE,28,BANGALORE,Jayanagar,R001,Biryani Blues,Biryani,4.3,Chicken Biryani,Main Course,3,₹220.0,660,Delivered,Debit Card,Paid,Vikram Das,Scooter,3.2,26,5,
ORD10293,17-Oct-24,CUST2165,Ramesh Malhotra,F,31,PUNE,Hinjewadi,R001,Biryani Blues,Biryani,4.3,Veg Biryani,Main Course,5,180,900,Delivered,UPI,Paid,Ravi Rao,Scooter,13.3,72,,4
ORD10471,05/18/2024,CUST2348,Myra Mukherjee,m,57,hyderabad,Madhapur,R008,Taco Fiesta,Mexican,3.8,Burrito Bowl,Main Course,3,240,720,Returned,Cash on Delivery,Refunded,,Bicycle,12.5,49,,
ORD10366,13-02-2024 02:16,CUST2268,Lakshmi Verma,F,150,Delhi,Rohini,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,5,₹140.0,700,Delivered,CREDIT CARD,Paid,Suresh Kumar,Scooter,11.2,54,4,3
ORD10221,03-11-2024 11:57,CUST2164,Aarohi Iyer,null,47,delhi,Karol Bagh,R008,Taco Fiesta,Mexican,3.8,Chicken Tacos,Main Course,4,210,,DELIVERED,debit card,Paid,Anika Kapoor,Bike,2.3,20,6,3
ORD10500,27-12-2024 21:07,CUST2370,Diya Mukherjee,f,58,bangalore,Koramangala,R014,Healthy Bites,Salads,4.2,Fruit Bowl,Salads,1,120,120,Cancelled,UPI,Refunded,Ishaan Joshi,Bicycle,2.1,23,,
ORD10233,09-06-2024,CUST2055,Suresh Chatterjee,MALE,29,Hyderabad,Banjara Hills,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,3,₹70.0,210,CANCELLED,Wallet,Failed,Vikram Das,Bike,2.4,17,,
ORD10088,25-01-2024 09:24,CUST2066,Vivaan Patel,MALE,31,KOLKATA,Park Street,R009,The Bakers Oven,Bakery,4,Cupcake,Desserts,5,80,400,Delivered,Cash on Delivery,Paid,,Bicycle,5.1,27,5,5
ORD10071,01-05-2024 00:40,CUST2010,Anika Gupta,female,60,Pune,Kharadi,R011,Curry House,North Indian,4.1,Paneer Tikka,Starters,1,220,220,Cancelled,UPI,Refunded,Meera Bose,Bicycle,6.1,,,
ORD10492,05-10-2024 05:25,CUST2363,Kavya Reddy,male,46,mumbai,Bandra,R004,Punjabi Tadka,North Indian,4.4,Dal Makhani,Main Course,-1,180,180,Returned,WALLET,Refunded,Kiran Desai,Bike,12.7,76,,
ORD10180,18-04-2024 16:26,CUST2132,,F,39,Bangalore,Koramangala,R008,Taco Fiesta,Mexican,3.8,Chicken Tacos,Main Course,2,₹210.0,420,Delivered,cash on delivery,Paid,Anika Kapoor,Bike,6.2,35,,
ORD10166,30-11-2024 07:22,CUST2115,Aarohi Reddy,Male,38,,Park Street,R008,Taco Fiesta,Mexican,3.8,Nachos,Starters,1,180,180,CANCELLED,Cash on Delivery,Refunded,Meera Bose,Bike,14.8,85,,
ORD10212,18-08-2024,CUST2034,Riya Verma,F,32,MUMBAI,Bandra,R012,Noodle Story,Chinese,3.7,Veg Noodles,Noodles,5,160,800,Delivered,Credit Card,Paid,Aarav Reddy,Bike,6.1,41,5,3
ORD10215,24-04-2024,CUST2159,Deepak Das,m,33,Bangalore,Koramangala,R011,Curry House,North Indian,4.1,Butter Chicken,Main Course,1,260,260,Delivered,Cash on Delivery,Paid,Vivaan Singh,Bike,11.1,48,4,5
ORD10156,21-Mar-24,CUST2113,,FEMALE,23,delhi,Saket,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,2,90,180,Returned,Wallet,Refunded,Suresh Kumar,E-Bike,3.2,19,,
ORD10427,25-09-2024 05:26,CUST2318,Pooja Malhotra,m,19,BANGALORE,HSR Layout,R002,Pizza Palace,Italian,4.1,Margherita Pizza,Pizza,2,250,Rs.500.0,Returned,CashonDelivery,Refunded,Aditya Menon,E-Bike,5.1,37,,
ORD10017,05-02-2024 20:17,CUST2011,Reyansh Reddy,female,5,Bangalore,Koramangala,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,2,140,280,delivered,Debit Card,Paid,Ravi Rao,Bicycle,10.6,65,4,3
ORD10118,08-05-2024 00:19,CUST2087,POOJA KAPOOR,female,38,BANGALORE,HSR Layout,R011,Curry House,North Indian,,Butter Chicken,Main Course,2,₹260.0,₹520.0,Cancelled,cash on delivery,Failed,Reyansh Sharma,Bike,4.5,30,,
ORD10461,09-09-2024 10:43,CUST2340,,M,54,Kolkata,Park Street,R015,Chaat Corner,Street Food,4,Vada Pav,Street Food,-3,Rs.50.0,150,Cancelled,UPI,Failed,Vikram Das,E-Bike,0.8,15,,
ORD10348,15-09-2024 02:34,CUST2255,Gita Chatterjee,m,31,Chennai,T Nagar,R015,  Chaat Corner  ,Street Food,4,Bhel Puri,Street Food,3,70,210,Delivered,UPI,Paid,Vivaan Singh,Scooter,11.8,51,3,3
ORD10089,22-07-2024 07:13,CUST2064,Riya Pillai,female,50,Chennai,OMR,R009,The Bakers Oven,Bakery,4,Chocolate Cake,Desserts,5,350,1750,delivered,Credit Card,Paid,Pooja Gupta,E-Bike,0.8,14,4,3
ORD10326,16-05-2024 01:12,CUST2071,Lakshmi Pillai,f,53,Bangalore,Jayanagar,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,1,70,70,delivered,CREDIT CARD,Paid,Sai Iyer,Bike,1,14,4,5
ORD10231,20-01-2024,CUST2173,Sneha Verma,M,45,MUMBAI,Malad,R005,Burger Point,Fast Food,3.9,Cheese Burger,Burger,2,130,260,DELIVERED,Debit Card,Paid,Ravi Rao,E-Bike,,48,4,5
ORD10436,17-Feb-24,CUST2323,Sunita Verma,M,50,BANGALORE,Indiranagar,R011,Curry House,North Indian,4.1,Butter Chicken,Main Course,2,260,864.31,DELIVERED,Credit Card,Paid,Kiran Desai,E-Bike,11.2,52,4,4
ORD10388,03/28/2024,CUST2286,N/A,FEMALE,25, Chennai ,Anna Nagar,R008,Taco Fiesta,Mexican,3.8,Nachos,Starters,3,180,Rs.540.0,Delivered,UPI,Paid,Ravi Rao,E-Bike,2.4,20,4,5
ORD10420,11-10-2024 02:29,CUST2313,Karthik Menon,MALE,55,Bangalore,Whitefield,R003,Dragon Wok,Chinese,4,Veg Noodles,Noodles,1,160,Rs.160.0,Delivered,Cash on Delivery,Paid,Sai Iyer,Bike,5.5,30,5,
ORD10244,21-10-2024 01:40,CUST2181,Karthik Singh,F,55,pune,Hinjewadi,R003,Dragon Wok,Chinese,4,Chicken Manchurian,Main Course,5,210,1050,Delivered,UPI,Paid,Aarav Reddy,Bike,10.2,66,5,4
ORD10197,02-06-2024 17:03,CUST2146,Gita Menon,NA,44,MUMBAI,Dadar,R011,Curry House,North Indian,4.1,Paneer Tikka,Starters,5,220,1100,delivered,Cash on Delivery,Paid,Myra Pillai,Scooter,-3.5,42,5,3
ORD10171,02-Jul-24,CUST2126,Anil Rao,Female,41,Hyderabad,Banjara Hills,R013,Sweet Tooth,Desserts,4.6,Gulab Jamun,Desserts,5,90,626.11,Returned,UPI,Refunded,Meera Bose,Bike,1.4,14,,
ORD10005,18-Oct-24, CUST2003 ,Rahul Verma,MALE,32,Kolkata,Ballygunge,R010,Kebab Junction,Mughlai,4.3,Chicken Kebab,Starters,4,240,960,Delivered,Wallet,Paid,Meera Bose,Scooter,14.6,81,3,5
ORD10416,22-Oct-24,CUST2310,Rahul Kapoor,Male,45,Hyderabad,Banjara Hills,R002,Pizza Palace,Italian,,Pepperoni Pizza,Pizza,1,320,320,Cancelled,Cash on Delivery,Failed,Aarav Reddy,E-Bike,4.8,36,,
ORD10478,01-10-2024,CUST2353,Sanjay Kapoor,F,40,hyderabad,Secunderabad,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,5,280,1400,Delivered,debit card,Paid,Kiran Desai,E-Bike,6.9,39,4,5
ORD10138,25-10-2024 15:39,CUST2031,Manoj Kapoor,,56,Mumbai,Malad,R014,Healthy Bites,Salads,4.2,Fruit Bowl,Salads,5,Rs.120.0,600,Delivered,CASH ON DELIVERY,Paid,Vivaan Singh,Scooter,1.6,20,4,5
ORD10027,22-11-2024 04:05,CUST2020,Vikram Reddy,Male,47,Pune,Kharadi,R009,The Bakers Oven,Bakery,4,Cupcake,Desserts,0,80,240,DELIVERED,Wallet,Paid,Vikram Das,E-Bike,13.5,77,4,
ORD10084,09-08-2024,CUST2063,Priya Singh,female,46,Chennai,Velachery,R013,Sweet Tooth,Desserts,4.6,Brownie,Desserts,4,130,Rs.520.0,Cancelled,WALLET,Refunded,Pooja Gupta,E-Bike,13.6,64,,
ORD10279,25-10-2024 07:38,CUST2207,Vikram Verma,F,39,Bangalore,Indiranagar,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,4,280,1120,Delivered,Wallet,Paid,Myra Pillai,Bicycle,13.5,62,3,
ORD10291,11-Dec-24,CUST2216,Meera Sharma,m,37,Hyderabad,Madhapur,R014,  Healthy Bites  ,Salads,4.2,Fruit Bowl,Salads,1,120,120,Returned,Debit Card,Refunded,Kavya Mukherjee,Bike,7.3,35,,
ORD10105,20-04-2024 23:22,CUST2078,Suresh Kapoor,MALE,47,Delhi,,R008,Taco Fiesta,Mexican,3.8,Chicken Tacos,Main Course,1,₹210.0,210,Delivered,Wallet,Paid,Reyansh Sharma,Bicycle,9.1,40,5,5
ORD10045,11-03-2024 11:36,CUST2035,Ravi Verma,M,45, Pune ,Hinjewadi,R010,Kebab Junction,Mughlai,4.3,Seekh Kebab,Starters,1,220,220,Delivered,Credit Card,Paid,Sai Iyer,Bike,11.6,54,5,4
ORD10021,13-04-2024 02:19,CUST2015,Myra Sharma,m,60,Hyderabad,Kukatpally,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,1,70,₹70.0,Delivered,DebitCard,Paid,Vikram Das,Scooter,,67,4,5
ORD10477,22-Feb-24,CUST2113,Anika Menon,Female,23,delhi,Dwarka,R008,Taco Fiesta,Mexican,3.8,Chicken Tacos,Main Course,4,210,840,Cancelled,debit card,Failed,Aditya Menon,Bicycle,14.1,70,,
ORD10174,03-10-2024 09:04,CUST2129,Rohan Sharma,m,44, Bangalore ,Indiranagar,R009,The Bakers Oven,Bakery,-1,Croissant,Bakery,1,90,₹90.0,delivered,upi,Paid,Pooja Gupta,Bike,3.7,29,3,4
ORD10272,11-01-2024 05:44,CUST2201,Ananya Rao,female,19,HYDERABAD,Madhapur,R011,  Curry House  ,North Indian,4.1,Paneer Tikka,Starters,1,220,220,Cancelled,Credit Card,Failed,Kavya Mukherjee,Bike,1.7,19,,
ORD10433,27-Apr-24,CUST2322,Kiran Gupta,male,36,Pune,Kothrud,R011,Curry House,North Indian,4.1,Paneer Tikka,Starters,2,220,440,cancelled,CREDIT CARD,Refunded,Suresh Kumar,E-Bike,2.2,24,,
ORD10062,16-11-2024 02:01,CUST2046,Aditya Menon,female,31,Delhi,Connaught Place,R004,Punjabi Tadka,North Indian,4.4,Paneer Tikka,Starters,1,Rs.220.0,220,RETURNED,Debit Card,Refunded,Krishna Chatterjee,E-Bike,4.7,40,,
ORD10034,15-11-2024 08:40,CUST2026,Manoj Singh,MALE,24,pune,Hinjewadi,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,5,Rs.210.0,1050,Delivered,wallet,Paid,Aarav Reddy,E-Bike,10.2,48,3,5
ORD10220,01-08-2024 18:59,CUST2163,Rohan Malhotra,female,57,Bangalore,Koramangala,R011,Curry House,North Indian,4.1,Butter Chicken,Main Course,5,260,Rs.1300.0,Delivered,CashonDelivery,Paid,Vivaan Singh,E-Bike,5.4,30,5,4
ORD10267,08-Nov-24,CUST2197,Diya Joshi,FEMALE,26,Chennai,Anna Nagar,R014,Healthy Bites,Salads,4.2,Caesar Salad,Salads,3,Rs.180.0,₹540.0,cancelled,Wallet,Failed,Aditya Menon,Bicycle,2.9,22,,
ORD10192,31-10-2024 19:34,CUST2141,Priya Sharma,MALE,45,,Whitefield,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,5,210,1050,Delivered,Credit Card,Paid,Nikhil Malhotra,Bicycle,3.2,18,3,4
ORD10124,24-10-2024 12:08,CUST2092,Vikram Malhotra,,45,Chennai,Adyar,R014,Healthy Bites,Salads,4.2,Caesar Salad,Salads,2,180,360,delivered,DebitCard,Paid,Sai Iyer,Bicycle,14.1,75,5,5
ORD10251,16-12-2024 03:35,CUST2185,Amit Mukherjee,Male,56,Chennai,T Nagar,R004,Punjabi Tadka,North Indian,4.4,Paneer Tikka,Starters,4,220,Rs.880.0,Cancelled,UPI,Refunded,Ishaan Joshi,E-Bike,12.5,65,,
ORD10487,15-Dec-24,CUST2360,Anil Bose,female,47,DELHI,Karol Bagh,R001,Biryani Blues,Biryani,4.3,Veg Biryani,Main Course,1,180,180,Delivered,Cash on Delivery,Paid,Pooja Gupta,E-Bike,9.5,55,4,4
ORD10114,10-Sep-24,CUST2084,Aarohi Verma,,,CHENNAI,Anna Nagar,R011,  Curry House  ,North Indian,4.1,Butter Chicken,Main Course,1,260,260,Delivered,Cash on Delivery,Paid,Anika Kapoor,Bike,10.5,54,4,5
ORD10144,17-08-2024,CUST2104,Deepak Das,male,29,,,R005,  Burger Point  ,Fast Food,3.9,Veg Burger,Burger,4,Rs.110.0,440,Delivered,Credit Card,Paid,Aditya Menon,Scooter,12.4,59,5,4
ORD10087,06/23/2024,CUST2065,Sneha Iyer,male,41,HYDERABAD,Gachibowli,R006,South Spice,South Indian,4.5,Masala Dosa,Breakfast,3,90,Rs.270.0,Cancelled,Credit Card,Refunded,,E-Bike,10.7,52,,
ORD10259,12/27/2024,CUST2192,Karthik Joshi,FEMALE,30, Chennai ,T Nagar,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,1,140,140,Delivered,WALLET,Paid,Vikram Das,Scooter,5.7,36,4,5
ORD10432,05-11-2024 03:00,CUST2099,Aditya Iyer,Male,43,Delhi,Connaught Place,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,2,Rs.70.0,140,Delivered,Credit Card,Paid,Suresh Kumar,E-Bike,2.7,23,5,4
ORD10289,28-12-2024 13:02,CUST2214,Nikhil Joshi,male,40,Pune,Baner,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,4,,560,Delivered,Credit Card,Paid,,E-Bike,8,,5,5
ORD10008,03-06-2024,CUST2005,Sai Bose,Male,22,Kolkata,Park Street,R003,Dragon Wok,Chinese,11,Spring Rolls,Starters,4,140,560,delivered,Credit Card,Paid,Meera Bose,E-Bike,14.5,90,,4
ORD10387,29-03-2024,CUST2110,Kiran Joshi,F,23,Pune,Kharadi,R014,Healthy Bites,Salads,4.2,Quinoa Salad,Salads,4,₹210.0,840,Delivered,WALLET,Paid,Kiran Desai,Bike,3.4,23,4,5
ORD10497,13-10-2024 13:51,CUST2367,Deepak Iyer,Female,39,BANGALORE,Jayanagar,R015,Chaat Corner,Street Food,4,Vada Pav,Street Food,4,50,200,Delivered,Wallet,Paid,Meera Bose,Bike,4.1,33,4,
ORD10476,09-09-2024 07:59,CUST2352,Suresh Kapoor,,,Hyderabad,Banjara Hills,R012,Noodle Story,Chinese,3.7,Chicken Manchurian,Main Course,5,₹210.0,1050,RETURNED,CASH ON DELIVERY,Refunded,Anika Kapoor,Scooter,9.1,56,,
ORD10399,23-10-2024 11:47,CUST2040,Amit Malhotra,M,42,Mumbai,Powai,R009,The Bakers Oven,Bakery,4,Croissant,Bakery,4,₹90.0,360,returned,wallet,Refunded,Ishaan Joshi,E-Bike,6.5,40,,
ORD10163,25-07-2024 00:41, CUST2119 ,Deepak Iyer,M,32,Delhi,Saket,R012,Noodle Story,Chinese,3.7,Veg Noodles,Noodles,1,160,160,Delivered,debit card,Paid,Aarohi Patel,E-Bike,11.8,65,4,3
ORD10137,26-04-2024 05:27,CUST2100,Myra Gupta,M,54,Delhi,Rohini,R001,Biryani Blues,Biryani,4.3,Chicken Biryani,Main Course,3,220,660,DELIVERED,WALLET,Paid,Myra Pillai,Scooter,1,10,5,3
ORD10022,21-05-2024 10:47,CUST2010,Anika Gupta,f,60,PUNE,Baner,R006,South Spice,South Indian,4.5,Uttapam,Breakfast,3,100,300,Delivered,wallet,Paid,Aditya Menon,Bicycle,4.4,26,5,4
